Heure;Debit (veh/h): Boucle 1;Debit (veh/h): Boucle 2;Debit (veh/h): Boucle 3;Vitesse (km/h): Boucle 1;Vitesse (km/h): Boucle 2;Vitesse (km/h): Boucle 3;To (%): Boucle 1;To (%): Boucle 2;To (%): Boucle 3
06:00;900;1260;1320;85;85;70;3;4;4
06:01;1140;840;1020;88;89;83;3;2;3
06:02;1020;780;540;88;87;72;2;2;2
06:03;720;1320;1620;88;87;54;2;4;5
06:04;1320;1440;1500;89;85;61;3;4;6
06:05;1500;1380;1080;72;83;73;5;4;4
06:06;1020;840;600;84;77;84;3;4;2
06:07;720;780;1020;62;82;49;3;3;5
06:08;1020;1500;1380;66;86;81;3;5;4
06:09;1080;900;1080;80;88;79;3;3;3
06:10;1200;1440;1920;83;86;61;3;5;7
06:11;1560;1440;900;82;82;73;4;4;3
06:12;1140;1020;1140;82;80;73;3;3;3
06:13;1380;1440;1380;91;89;84;4;4;4
06:14;900;1320;1440;92;93;82;2;3;4
06:15;1320;1500;1560;76;86;82;3;5;5
06:16;1440;1380;1560;88;86;67;4;4;4
06:17;1320;1320;1320;80;86;76;3;4;5
06:18;1320;1500;1380;83;82;81;3;5;4
06:19;1260;1560;1500;80;87;80;3;4;5
06:20;1800;1380;1920;88;97;79;4;3;5
06:21;1620;1740;1620;86;82;85;4;5;5
06:22;1620;1380;1140;88;89;67;4;3;4
06:23;900;1440;1440;87;83;73;2;5;5
06:24;1320;1620;1920;82;83;75;4;6;7
06:25;1800;1620;1320;70;82;78;6;6;4
06:26;1320;1080;1260;77;88;82;3;3;3
06:27;1500;1680;1800;85;81;70;4;5;6
06:28;1680;1800;1560;78;89;80;5;4;4
06:29;1260;1260;1380;89;93;69;3;4;4
06:30;1380;1500;2100;67;83;78;4;5;7
06:31;1920;3000;2640;72;82;73;6;9;8
06:32;2760;2100;1920;79;86;73;7;5;6
06:33;1740;1620;2160;83;87;90;4;5;6
06:34;2340;2400;2400;84;88;71;6;6;8
06:35;1800;1920;1800;78;80;82;5;6;5
06:36;2280;1980;2100;77;85;96;6;5;5
06:37;2040;2820;2880;78;87;72;5;8;10
06:38;3240;2820;2880;83;86;84;8;8;8
06:39;2220;2580;2700;82;86;70;6;7;10
06:40;2880;2940;3240;72;82;70;8;10;11
06:41;2820;2880;2340;74;84;81;8;8;7
06:42;2460;2160;1740;79;88;87;6;6;5
06:43;1620;2820;3420;87;83;71;4;8;11
06:44;3180;3180;3720;75;80;73;9;8;11
06:45;3420;3300;3540;65;83;72;10;8;11
06:46;3600;3840;3900;75;80;66;9;11;13
06:47;3720;3360;2880;69;82;80;11;9;7
06:48;2580;3660;3780;72;80;75;6;10;12
06:49;3720;3180;3420;69;81;75;11;9;11
06:50;3300;3720;3900;79;79;77;8;11;12
06:51;3900;3300;2700;70;78;89;12;9;7
06:52;2700;3240;3540;78;81;73;7;9;10
06:53;3780;3720;3780;78;84;84;9;10;10
06:54;3120;3420;3540;82;79;71;8;10;12
06:55;3240;3720;3900;76;77;70;9;11;12
06:56;3960;4260;4560;77;81;74;10;12;15
06:57;4320;4320;3720;72;78;79;13;13;11
06:58;3600;3240;3660;67;80;72;10;9;11
06:59;3480;3300;3420;75;84;81;9;9;10
07:00;3300;2640;2760;78;83;80;9;7;8
07:01;2760;4560;4680;76;79;78;8;13;13
07:02;4080;3660;3120;72;78;88;11;10;9
07:03;3360;4320;4920;76;77;72;9;13;17
07:04;4200;3840;3480;69;80;83;11;10;9
07:05;3240;3420;3480;73;79;68;8;10;11
07:06;3540;4140;4200;73;80;79;9;11;12
07:07;4320;4560;4620;70;79;69;12;12;15
07:08;4080;4260;4560;72;78;73;11;13;15
07:09;4560;3540;3960;71;79;78;14;10;11
07:10;3780;5220;4080;74;75;67;10;14;13
07:11;3900;3600;4200;70;77;81;10;10;12
07:12;4320;4200;4140;71;76;65;11;11;13
07:13;3900;5160;5880;67;74;69;11;15;18
07:14;5700;5520;5100;66;76;72;16;16;16
07:15;4860;4920;5520;68;74;66;14;14;20
