Heure;Debit;Vitesse;TauxOccupation
06:00;1260;85;4
06:01;840;89;2
06:02;780;87;2
06:03;1320;87;4
06:04;1440;85;4
06:05;1380;83;4
06:06;840;77;4
06:07;780;82;3
06:08;1500;86;5
06:09;900;88;3
06:10;1440;86;5
06:11;1440;82;4
06:12;1020;80;3
06:13;1440;89;4
06:14;1320;93;3
06:15;1500;86;5
06:16;1380;86;4
06:17;1320;86;4
06:18;1500;82;5
06:19;1560;87;4
06:20;1380;97;3
06:21;1740;82;5
06:22;1380;89;3
06:23;1440;83;5
06:24;1620;83;6
06:25;1620;82;6
06:26;1080;88;3
06:27;1680;81;5
06:28;1800;89;4
06:29;1260;93;4
06:30;1500;83;5
06:31;3000;82;9
06:32;2100;86;5
06:33;1620;87;5
06:34;2400;88;6
06:35;1920;80;6
06:36;1980;85;5
06:37;2820;87;8
06:38;2820;86;8
06:39;2580;86;7
06:40;2940;82;10
06:41;2880;84;8
06:42;2160;88;6
06:43;2820;83;8
06:44;3180;80;8
06:45;3300;83;8
06:46;3840;80;11
06:47;3360;82;9
06:48;3660;80;10
06:49;3180;81;9
06:50;3720;79;11
06:51;3300;78;9
06:52;3240;81;9
06:53;3720;84;10
06:54;3420;79;10
06:55;3720;77;11
06:56;4260;81;12
06:57;4320;78;13
06:58;3240;80;9
06:59;3300;84;9
07:00;2640;83;7
07:01;4560;79;13
07:02;3660;78;10
07:03;4320;77;13
07:04;3840;80;10
07:05;3420;79;10
07:06;4140;80;11
07:07;4560;79;12
07:08;4260;78;13
07:09;3540;79;10
07:10;5220;75;14
07:11;3600;77;10
07:12;4200;76;11
07:13;5160;74;15
07:14;5520;76;16
07:15;4920;74;14
07:16;5700;69;19
07:17;5340;72;16
07:18;5100;74;15
07:19;4020;75;11
07:20;4800;77;13
07:21;4440;75;13
07:22;5340;71;16
07:23;5400;73;15
07:24;4560;70;14
07:25;4680;76;14
07:26;4800;71;15
07:27;4020;78;11
07:28;5340;70;18
07:29;4560;67;15
07:30;4980;67;16
07:31;4260;73;14
07:32;4920;64;16
07:33;4620;73;14
07:34;3900;70;14
07:35;4200;74;13
07:36;5820;65;18
07:37;4320;71;13
07:38;4740;71;13
07:39;5460;68;18
07:40;4920;71;14
07:41;4920;72;14
07:42;4680;71;15
07:43;5880;65;19
07:44;4980;72;14
07:45;4560;70;14
07:46;4380;71;13
07:47;4020;69;12
07:48;4500;73;14
07:49;3720;69;12
07:50;5040;70;15
07:51;3720;75;10
07:52;4920;65;15
07:53;3420;69;11
07:54;4080;71;12
07:55;3600;77;10
07:56;4140;76;12
07:57;4440;67;14
07:58;3900;70;12
07:59;4800;71;14
08:00;5580;71;17
08:01;3600;75;11
08:02;4140;77;11
08:03;3780;74;11
08:04;3900;78;11
08:05;4560;72;14
08:06;3780;73;11
08:07;5100;71;16
08:08;4320;75;12
08:09;4800;67;16
08:10;4200;71;13
08:11;4800;70;15
08:12;4500;70;13
08:13;4380;67;15
08:14;4140;69;13
08:15;2760;78;8
08:16;4080;77;11
08:17;3240;80;9
08:18;3360;83;9
08:19;3240;78;9
08:20;4080;77;11
08:21;3900;73;12
08:22;3660;81;9
08:23;3240;75;9
08:24;4380;70;13
08:25;4860;70;15
08:26;4320;74;13
08:27;3300;81;9
08:28;4320;73;14
08:29;4620;69;14
08:30;3720;78;10
08:31;4260;74;14
08:32;3960;75;11
08:33;4140;75;13
08:34;4620;74;13
08:35;3420;76;10
08:36;3900;76;10
08:37;3780;83;10
08:38;4140;73;12
08:39;3060;80;9
08:40;3600;76;11
08:41;3960;75;11
08:42;3600;80;10
08:43;3420;79;9
08:44;4320;74;13
08:45;4320;72;13
08:46;3900;80;11
08:47;3600;76;11
08:48;4140;74;12
08:49;4440;75;12
08:50;3600;77;10
08:51;3720;80;12
08:52;3840;74;12
08:53;4260;80;12
08:54;3060;83;8
08:55;3300;79;9
08:56;2820;79;8
08:57;3240;74;9
08:58;2880;64;10
08:59;3180;45;16
09:00;2520;30;29
09:01;1080;12;26
09:02;1620;11;41
09:03;1260;8;46
09:04;1500;16;35
09:05;1560;9;36
09:06;1800;13;39
09:07;960;12;24
09:08;-2;-2;-2
09:09;1920;11;51
09:10;1920;14;36
09:11;1260;13;30
09:12;1200;14;21
09:13;1200;13;23
09:14;1200;11;41
09:15;780;11;20
09:16;1380;11;44
09:17;1200;17;45
09:18;1500;14;53
09:19;1680;14;46
09:20;1800;15;37
09:21;1740;15;21
09:22;1320;14;32
09:23;1980;18;27
09:24;1920;26;60
09:25;960;14;30
09:26;900;15;61
09:27;900;8;30
09:28;1380;11;39
09:29;960;17;13
09:30;1440;19;26
09:31;1620;19;29
09:32;1380;19;25
09:33;1560;16;50
09:34;2460;18;44
09:35;960;11;44
09:36;1980;17;29
09:37;2760;24;30
09:38;2100;17;41
09:39;2940;17;39
09:40;2580;15;39
09:41;1260;11;33
09:42;1560;9;34
09:43;2100;13;40
09:44;1200;11;33
09:45;1800;12;31
09:46;2220;15;39
09:47;2580;18;40
09:48;3240;20;37
09:49;2880;17;37
09:50;2460;16;39
09:51;2580;16;32
09:52;2400;18;45
09:53;1560;13;31
09:54;2640;20;31
09:55;3480;26;32
09:56;4020;30;33
09:57;4620;33;31
09:58;4140;30;36
09:59;3240;24;32
