Heure;Debit;Vitesse;TauxOccupation
06:00;1080;84;3
06:01;900;88;3
06:02;1080;87;3
06:03;840;91;2
06:04;1140;87;3
06:05;840;86;2
06:06;1080;81;3
06:07;960;74;3
06:08;2160;82;6
06:09;1140;84;3
06:10;1500;79;4
06:11;1620;83;5
06:12;2100;88;6
06:13;1200;88;3
06:14;1560;78;4
06:15;1380;76;4
06:16;900;82;3
06:17;1860;82;4
06:18;1380;86;4
06:19;1320;84;3
06:20;1860;85;4
06:21;2040;79;5
06:22;1680;86;4
06:23;1680;84;4
06:24;2040;86;5
06:25;1140;80;3
06:26;1800;79;5
06:27;2280;77;6
06:28;2100;80;6
06:29;2160;76;8
06:30;2460;82;6
06:31;1380;83;4
06:32;2580;82;6
06:33;2160;82;6
06:34;2100;83;6
06:35;1740;86;4
06:36;2340;82;6
06:37;2520;80;6
06:38;1860;83;4
06:39;2520;82;6
06:40;1560;82;4
06:41;3600;81;8
06:42;2760;84;6
06:43;2700;80;7
06:44;3000;76;9
06:45;3360;77;9
06:46;2760;84;7
06:47;2820;77;7
06:48;3360;78;9
06:49;4260;72;11
06:50;3720;72;10
06:51;3660;77;10
06:52;2520;86;6
06:53;3420;75;9
06:54;3540;76;9
06:55;4860;67;14
06:56;4260;75;11
06:57;3420;76;9
06:58;3840;74;10
06:59;4680;69;12
07:00;4260;77;11
07:01;3960;78;11
07:02;3180;78;8
07:03;4500;69;12
07:04;4200;71;11
07:05;3660;75;9
07:06;5040;71;14
07:07;4020;67;12
07:08;4380;60;13
07:09;4380;61;14
07:10;5760;67;16
07:11;3960;75;10
07:12;3840;62;12
07:13;5580;60;17
07:14;4920;72;13
07:15;4620;68;13
07:16;4260;67;12
07:17;5700;56;20
07:18;4380;60;14
07:19;4260;71;11
07:20;4020;73;11
07:21;5280;64;16
07:22;4620;60;16
07:23;4140;67;11
07:24;4260;68;12
07:25;5100;63;15
07:26;4380;64;13
07:27;5340;62;16
07:28;4620;67;13
07:29;4800;62;14
07:30;3540;68;10
07:31;3720;70;10
07:32;4260;66;13
07:33;5280;61;17
07:34;4560;56;15
07:35;4560;48;18
07:36;3660;47;13
07:37;4500;56;15
07:38;4620;51;17
07:39;5280;52;19
07:40;5040;62;15
07:41;4320;57;15
07:42;4260;55;14
07:43;4500;50;16
07:44;4800;42;20
07:45;4740;48;18
07:46;4920;54;17
07:47;4680;48;18
07:48;4980;45;20
07:49;3540;43;17
07:50;4620;49;17
07:51;4560;49;17
07:52;4080;38;19
07:53;4260;46;19
07:54;4080;44;17
07:55;4140;54;14
07:56;4320;53;15
07:57;3600;57;12
07:58;4200;47;18
07:59;4260;50;17
08:00;3900;56;12
08:01;4020;55;14
08:02;4260;57;14
08:03;4620;55;16
08:04;4260;57;14
08:05;3960;68;12
08:06;4740;61;15
08:07;4260;57;14
08:08;4020;63;12
08:09;4080;48;17
08:10;3720;36;19
08:11;4320;56;15
08:12;4860;53;18
08:13;4020;39;19
08:14;3840;40;18
08:15;3420;36;19
08:16;3360;30;23
08:17;3780;27;27
08:18;3780;23;27
08:19;3780;26;26
08:20;4380;36;22
08:21;3060;34;28
08:22;3600;23;33
08:23;2880;20;28
08:24;3000;19;30
08:25;3780;28;25
08:26;3780;25;28
08:27;4440;31;26
08:28;3900;27;28
08:29;3000;28;21
08:30;4080;33;23
08:31;3480;34;18
08:32;3420;40;17
08:33;3360;41;14
08:34;3480;51;13
08:35;4140;46;16
08:36;3180;35;18
08:37;3720;36;21
08:38;3480;33;19
08:39;4440;41;20
08:40;3660;44;15
08:41;3360;33;18
08:42;3960;35;21
08:43;3720;39;20
08:44;3180;28;21
08:45;3660;32;21
08:46;3360;32;20
08:47;3300;28;22
08:48;3540;30;22
08:49;4140;41;19
08:50;3180;39;15
08:51;3600;37;18
08:52;3720;39;18
08:53;3240;31;21
08:54;2880;36;22
08:55;3780;52;14
08:56;3360;46;14
08:57;3720;39;18
08:58;2880;29;18
08:59;4500;41;19
09:00;4440;47;18
09:01;3780;46;16
09:02;3420;38;20
09:03;3660;35;18
09:04;3120;33;19
09:05;3480;38;18
09:06;3300;38;16
09:07;3720;50;14
09:08;2880;50;11
09:09;3120;35;17
09:10;3960;44;18
09:11;3060;36;15
09:12;2580;52;10
09:13;3660;66;10
09:14;2640;76;7
09:15;2640;83;7
09:16;2820;72;7
09:17;2940;81;7
09:18;2520;74;7
09:19;3240;79;9
09:20;3660;71;10
09:21;2520;71;7
09:22;3540;72;9
09:23;2640;82;7
09:24;3180;74;10
09:25;3540;71;9
09:26;3300;78;9
09:27;3480;77;9
09:28;3240;77;8
09:29;3120;73;9
09:30;2640;68;8
09:31;2880;71;8
09:32;2280;80;6
09:33;3360;74;10
09:34;3720;65;12
09:35;3480;73;10
09:36;3360;63;10
09:37;2640;78;7
09:38;3720;70;10
09:39;3600;68;11
09:40;2940;76;8
09:41;2820;73;7
09:42;2820;71;8
09:43;3000;69;9
09:44;3300;73;9
09:45;2940;79;7
09:46;3180;73;9
09:47;2520;82;7
09:48;3180;75;8
09:49;2400;79;7
09:50;3000;75;8
09:51;2700;77;7
09:52;2700;77;7
09:53;3240;71;9
09:54;2640;69;7
09:55;2580;73;7
09:56;3420;76;8
09:57;2940;76;8
09:58;3420;77;10
09:59;3720;68;11
